FrameNum,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Coeff_0,Coeff_1,Coeff_2,Coeff_3,Coeff_4,Coeff_5,P1,P2,Time
50,228.6328935,224.0803427,206.0388313,250.0079999,231,284.5083479,1.02E-13,-3.01E-10,1.40E-07,6.12E-06,0.043759734,444.0853645,0,0,2
51,228.6328935,224.0803427,207.021738,249.0180716,231,283.5101409,5.75E-13,-1.33E-09,9.86E-07,-0.000321575,0.102638294,440.0616584,0,0,2.04
52,229.7063343,224.0803427,206.0218435,250.0179994,231,283.5101409,-3.16E-13,7.28E-10,-8.10E-07,0.000412566,-0.035874372,449.6660891,0,0,2.08
53,229.7063343,224.0803427,206.0388313,250.0179994,231,284.5083479,4.31E-13,-1.11E-09,8.89E-07,-0.000317217,0.108481549,439.232407,0,0,2.12
54,229.6301374,224.0803427,206.0388313,249.0180716,230,284.5083479,3.99E-13,-9.76E-10,7.21E-07,-0.000226944,0.087264486,440.9680213,0,0,2.16
55,229.6301374,224.0803427,206.0388313,250.0079999,231,283.451936,4.07E-13,-9.75E-10,7.01E-07,-0.000210404,0.083199605,441.2329636,0,0,2.2
56,228.6328935,224.1093483,206.0388313,250.0079999,231,284.5083479,9.11E-13,-2.15E-09,1.74E-06,-0.00063629,0.163302533,435.7704623,0,0,2.24
57,228.6328935,224.0803427,206.0388313,250.0079999,231,283.5101409,8.96E-13,-2.04E-09,1.57E-06,-0.000536588,0.139314991,437.7172411,0,0,2.28
58,229.6301374,224.0803427,206.0388313,249.008032,231,283.5101409,6.82E-13,-1.57E-09,1.19E-06,-0.000396237,0.114874117,439.2974866,0,0,2.32
60,228.6328935,224.0803427,206.0388313,250.0079999,231,284.5083479,7.46E-13,-1.76E-09,1.36E-06,-0.000464243,0.125257599,438.9563964,0,0,2.4
61,229.7063343,224.0803427,206.0388313,250.0079999,231,284.5083479,6.34E-13,-1.47E-09,1.11E-06,-0.00037574,0.115163584,438.7981794,0,0,2.44
62,228.6328935,224.1093483,206.0388313,250.0079999,231,284.5083479,4.32E-13,-9.73E-10,6.42E-07,-0.000158645,0.066870361,442.8818947,0,0,2.48
63,228.7094226,224.0803427,206.0388313,250.0079999,231,284.5083479,1.04E-12,-2.42E-09,1.95E-06,-0.000710851,0.174542781,435.2515402,0,0,2.52
64,228.6328935,224.0803427,206.0388313,250.0079999,231,284.5083479,1.30E-13,-2.45E-10,-3.83E-08,0.000146485,0.001423601,447.9269424,0,0,2.56
65,228.6328935,224.0803427,206.0388313,250.0079999,231,284.5083479,4.76E-13,-1.12E-09,8.14E-07,-0.000250535,0.089161123,440.9777779,0,0,2.6
66,228.6328935,224.0803427,206.0388313,250.0079999,231,284.5083479,6.37E-13,-1.50E-09,1.16E-06,-0.000398146,0.11829133,438.9495132,0,0,2.64
67,228.560714,224.0803427,206.0606707,250.0079999,231,284.5083479,9.80E-13,-2.30E-09,1.87E-06,-0.00069987,0.178638372,434.2087275,0,0,2.68
68,228.7094226,224.0803427,206.0388313,250.0079999,231,284.5083479,2.93E-13,-7.61E-10,5.61E-07,-0.00017296,0.078668958,441.5749394,0,0,2.72
69,228.6328935,224.1093483,206.0388313,250.0079999,231,284.5083479,8.71E-13,-2.00E-09,1.55E-06,-0.000537162,0.139505414,437.7586426,0,0,2.76
71,228.7094226,224.0803427,206.0388313,250.0179994,231,284.5083479,7.59E-13,-1.80E-09,1.44E-06,-0.000519628,0.14331358,436.9576635,0,0,2.84
72,228.6328935,225.1088626,206.0388313,250.0079999,230,284.5083479,8.37E-13,-1.97E-09,1.57E-06,-0.000564568,0.149428164,436.7130567,0,0,2.88
73,229.7063343,224.0803427,206.0388313,250.0079999,231,284.5083479,3.51E-13,-7.93E-10,4.87E-07,-9.59E-05,0.054378166,443.8406573,0,0,2.92
75,228.6328935,225.1088626,206.0388313,250.0079999,230,284.5083479,6.89E-13,-1.63E-09,1.29E-06,-0.000467361,0.136112015,437.0782781,0,0,3
76,229.7063343,224.0803427,206.0388313,250.0079999,231,284.5083479,1.11E-12,-2.50E-09,1.93E-06,-0.000670258,0.160327059,436.5716969,0,0,3.04
77,228.560714,224.1093483,206.0606707,250.0079999,231,284.5083479,8.18E-13,-1.88E-09,1.47E-06,-0.000521363,0.1421158,437.0707047,0,0,3.08
78,228.6328935,224.1093483,206.0388313,250.0079999,231,284.5083479,3.99E-13,-8.91E-10,5.63E-07,-0.000124496,0.059865712,443.4310076,0,0,3.12
79,229.7063343,224.0803427,206.0388313,250.0079999,231,284.5083479,3.60E-13,-8.27E-10,5.25E-07,-0.000111814,0.057418907,443.6202748,0,0,3.16
80,229.6301374,224.1093483,205.0390207,250.0079999,231,284.5083479,8.31E-13,-1.87E-09,1.40E-06,-0.000451387,0.119508831,439.317621,0,0,3.2
82,229.6301374,224.0803427,206.0606707,250.0079999,231,284.5083479,6.59E-13,-1.53E-09,1.15E-06,-0.000374266,0.108926837,439.8864115,0,0,3.28
83,228.6328935,224.1093483,206.0388313,250.0079999,232,283.5101409,8.09E-13,-1.88E-09,1.48E-06,-0.000520812,0.140064897,437.426654,0,0,3.32
84,229.7063343,224.0803427,206.0388313,250.0079999,231,284.5083479,4.36E-13,-1.07E-09,8.13E-07,-0.000272249,0.097650189,440.1421167,0,0,3.36
85,229.7063343,224.0803427,206.0388313,250.0079999,231,284.5083479,5.05E-13,-1.19E-09,8.84E-07,-0.000283836,0.096544225,440.2373346,0,0,3.4
86,228.6328935,224.0803427,206.0388313,250.0079999,231,284.5083479,2.91E-13,-7.13E-10,4.79E-07,-0.000122539,0.066029504,442.6178025,0,0,3.44
87,228.6328935,224.0803427,206.0388313,250.0079999,231,283.451936,7.59E-13,-1.82E-09,1.45E-06,-0.000520217,0.139750938,437.669743,0,0,3.48
88,229.7063343,224.0803427,206.0388313,250.0079999,231,283.451936,9.00E-13,-2.07E-09,1.60E-06,-0.00054923,0.13975627,437.9226956,0,0,3.52
89,228.6328935,224.0803427,206.0388313,250.0079999,231,284.5083479,4.98E-13,-1.15E-09,8.23E-07,-0.000249566,0.088524865,441.0935421,0,0,3.56
90,228.6328935,224.0803427,206.0388313,250.0079999,231,284.5083479,7.50E-13,-1.74E-09,1.34E-06,-0.000465711,0.129621504,438.1744944,0,0,3.6
91,229.7063343,224.0803427,206.0388313,250.0079999,231,284.5083479,6.20E-13,-1.38E-09,9.76E-07,-0.000288918,0.090601969,441.3203636,0,0,3.64
92,228.560714,224.0803427,206.0606707,250.0079999,231,284.5083479,2.93E-13,-7.21E-10,4.88E-07,-0.000127043,0.067016344,442.5312411,0,0,3.68
93,228.560714,224.1093483,206.0606707,250.0079999,231,284.5083479,5.40E-13,-1.31E-09,1.04E-06,-0.000374359,0.120448234,438.0638578,0,0,3.72
94,229.7063343,224.0803427,206.0388313,250.0079999,231,284.5083479,6.11E-13,-1.42E-09,1.05E-06,-0.00033628,0.101918828,440.3772633,0,0,3.76
95,228.6328935,224.1093483,206.0388313,250.0079999,231,284.5083479,3.19E-13,-7.91E-10,5.63E-07,-0.000166762,0.077450063,441.5298074,0,0,3.8
96,228.560714,224.1093483,206.0606707,250.0079999,231,284.5083479,3.26E-13,-8.30E-10,6.12E-07,-0.000190338,0.082617687,440.9585757,0,0,3.84
97,228.6328935,224.0803427,206.0388313,250.0079999,231,284.5083479,7.09E-13,-1.63E-09,1.23E-06,-0.00040132,0.113344767,439.6351221,0,0,3.88
98,228.6328935,225.1088626,206.0388313,250.0079999,230,284.5083479,4.02E-13,-9.36E-10,6.47E-07,-0.000181187,0.076143514,441.8415886,0,0,3.92
99,229.7063343,224.0803427,206.0388313,250.0079999,231,284.5083479,6.42E-13,-1.52E-09,1.18E-06,-0.000408949,0.121787458,438.4672794,0,0,3.96
100,228.6328935,224.0803427,206.0388313,250.0079999,231,284.5083479,1.15E-12,-2.63E-09,2.10E-06,-0.000762816,0.183233048,434.6108635,0,0,4
101,228.6328935,225.1088626,206.0388313,250.0079999,230,284.5083479,1.01E-12,-2.29E-09,1.78E-06,-0.000611071,0.149543583,437.391302,0,0,4.04
102,229.7063343,224.0803427,207.021738,250.031998,231,281.5137652,8.58E-13,-1.99E-09,1.59E-06,-0.000582022,0.156989377,435.6154038,0,0,4.08
103,229.4907406,225.0355527,209.038274,254.2833066,226,278.179798,2.73E-13,-7.56E-10,6.39E-07,-0.000205583,0.068718392,443.5193461,0,0,4.12
104,231.7002374,222.0810663,211.2368339,253.7124356,226.055303,278.0161866,3.01E-13,-8.42E-10,7.20E-07,-0.000223032,0.087343443,440.8158717,2,0,4.16
105,235.6883536,219.1118436,214.5972973,258.8628981,222.2723555,275.2616937,7.02E-13,-1.76E-09,1.50E-06,-0.000482559,0.127085283,438.5916296,3,0,4.2
106,238.1134184,215.2812114,217.1174797,259.6497641,219.6588264,273.7316204,5.35E-13,-1.36E-09,1.11E-06,-0.000276657,0.094762436,439.8725855,4,0,4.24
107,239.1087619,213.2838484,218.2154898,260.4092932,218.8264152,272.9706944,4.96E-13,-1.40E-09,1.28E-06,-0.000395254,0.130441254,436.2755682,5,0,4.28
108,238.9246743,214.2335175,218.2154898,258.9536638,219.583697,273.7316204,2.53E-13,-7.39E-10,5.78E-07,-4.18E-05,0.045011642,443.9410339,5,0,4.32
109,236.9324798,216.1874187,216.7487024,259.3723193,219.3285207,274.4102768,8.39E-13,-2.08E-09,1.79E-06,-0.000583574,0.150649388,436.2313151,6,0,4.36
110,234.6912866,219.1118436,216.5202069,259.7383299,220.2748283,272.1837615,1.54E-12,-3.66E-09,3.12E-06,-0.001121202,0.241085175,431.0894102,7,0,4.4
111,234.5463707,219.0821764,216.5202069,260.9693469,220.184014,272.2223356,9.55E-13,-2.33E-09,1.99E-06,-0.000665318,0.149153779,437.9589949,7.80075383,0,4.44
112,236.6854453,218.1123564,216.7487024,262.6194966,219.2281916,270.3627193,4.25E-13,-1.19E-09,1.09E-06,-0.000332687,0.096770696,440.8862682,8,0,4.48
113,238.7571988,215.1487857,219.209945,264.0378761,216.5202069,269.0724809,6.49E-13,-1.67E-09,1.48E-06,-0.000446814,0.118376592,439.070005,9,0,4.52
114,241.006224,213.2346126,222.7666941,265.7536453,213.0375554,267.3013281,7.18E-13,-1.93E-09,1.77E-06,-0.000546605,0.143687869,436.4381147,10,0,4.56
115,244.2826232,210.3425777,224.1539649,267.2901046,211.3669794,265.1886121,4.80E-13,-1.40E-09,1.33E-06,-0.000357218,0.111315199,438.583516,10.24629313,0,4.6
116,245.277394,209.2892735,225.5770378,265.8194876,211.4828598,266.1766331,9.95E-13,-2.59E-09,2.36E-06,-0.000763025,0.188718014,432.7688255,11,0,4.64
117,244.0860504,211.2368339,225.2842649,266.7901797,210.2617416,264.0473442,1.01E-12,-2.71E-09,2.55E-06,-0.000888474,0.216366957,430.8854071,12,0,4.68
118,242.0020661,211.2368339,225.0088887,267.8077669,210.0523744,264.5996977,9.89E-13,-2.55E-09,2.31E-06,-0.00074763,0.175991765,434.7197061,12,0,4.72
119,240.9169982,213.1900561,224.7509733,268.56098,210.857772,262.4804755,1.04E-12,-2.72E-09,2.53E-06,-0.000882125,0.203535037,432.8909268,13,0,4.76
120,241.9132076,213.1900561,224.7509733,269.235956,209.8618593,262.4804755,7.55E-13,-2.02E-09,1.88E-06,-0.000586836,0.140900393,437.5753127,14,0,4.8
121,242.9094481,211.1918559,226.27417,271.4000737,209.0574084,262.2250941,1.06E-12,-2.76E-09,2.55E-06,-0.000848335,0.191499799,434.0248658,14.4532874,0,4.84
122,245.0816191,210.2878979,227.7059507,272.9432175,206.4000969,260.4611295,6.68E-13,-1.81E-09,1.69E-06,-0.000461123,0.116128222,439.2410066,15,0,4.88
123,247.2670621,208.3458663,229.1724242,274.6088127,205.9126028,258.2885983,1.39E-12,-3.58E-09,3.32E-06,-0.001150327,0.255874737,428.7184215,16,0,4.92
